City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,6.01,91,20,5.14,GB,1699046305
1,waitangi,-43.9535,-176.5597,14.9,97,100,4.47,NZ,1699046305
2,nizhnesortymskiy,62.4397,71.7603,0.0,98,100,9.55,RU,1699046306
3,ad dabbah,18.05,30.95,28.19,23,14,5.08,SD,1699046306
4,port-aux-francais,-49.35,70.2167,2.22,64,61,14.93,TF,1699046306
5,kruisfontein,-34.0033,24.7314,17.15,73,69,3.25,ZA,1699046307
6,papatowai,-46.5619,169.4708,13.34,64,100,5.18,NZ,1699046307
7,rakops,-21.0167,24.3333,25.01,56,90,3.33,BW,1699046307
8,puerto baquerizo moreno,-0.9,-89.6,28.55,65,40,5.14,EC,1699046308
9,ilulissat,69.2167,-51.1,-1.99,54,66,6.69,GL,1699046308
10,dhuusamarreeb,5.535,46.3861,27.7,68,100,2.77,SO,1699046308
11,hawaiian paradise park,19.5933,-154.9731,28.73,71,20,4.63,US,1699046308
12,tazovsky,67.4667,78.7,-7.48,93,100,10.09,RU,1699046309
13,west island,-12.1568,96.8225,24.99,83,40,5.66,CC,1699046309
14,neryungri,56.6709,124.6491,-21.7,98,99,1.3,RU,1699046309
15,tiksi,71.6872,128.8694,-17.92,96,99,3.39,RU,1699046310
16,margaret river,-33.95,115.0667,16.33,61,50,4.6,AU,1699046310
17,mount pearl,47.5166,-52.7813,5.18,77,75,4.63,CA,1699046310
18,onega,63.9061,38.1404,-3.78,92,100,1.98,RU,1699046311
19,butterworth,5.3991,100.3638,27.02,87,20,1.54,MY,1699046311
20,puerto natales,-51.7236,-72.4875,13.25,44,40,4.63,CL,1699046311
21,bredasdorp,-34.5322,20.0403,16.43,83,2,6.47,ZA,1699046312
22,yanaul,56.2719,54.9309,4.07,67,98,4.26,RU,1699046312
23,grytviken,-54.2811,-36.5092,2.72,92,29,5.22,GS,1699046312
24,constantia,44.1833,28.65,16.5,84,100,8.01,RO,1699046313
25,bilibino,68.0546,166.4372,-12.3,93,100,1.46,RU,1699046313
26,touros,-5.1989,-35.4608,26.2,81,89,4.71,BR,1699046313
27,olonkinbyen,70.9221,-8.7187,1.29,79,100,4.28,SJ,1699046314
28,luanda,-8.8368,13.2343,26.0,83,40,1.54,AO,1699046200
